分類,対象,名称,区分,配置先,公式URL,注意
Core,Velocity,Velocity,導入・検証済み,velocity/,https://papermc.io/downloads/velocity,手動取得・Java 25
Core,Lobby/Main,Paper 26.2,導入・検証済み,"servers/lobby, servers/main",https://papermc.io/downloads/paper,Java 25
Core,Frontier,Paper 1.21.11,導入・検証済み,servers/frontier,https://papermc.io/downloads/paper,Java 25
Proxy,Velocity,LuckPerms 5.5.60,導入・検証済み,velocity/plugins,https://luckperms.net/download,共有MariaDB
Proxy,Velocity,ViaVersion 5.11.0,導入・検証済み,velocity/plugins,https://modrinth.com/plugin/viaversion,ViaBackwards禁止
Proxy,Velocity,TAB 6.1.0,導入・検証済み,velocity/plugins,https://github.com/NEZNAMY/TAB/releases,Proxy Installation・Paper配置禁止
Proxy,Velocity,VelocityScoreboardAPI 2.1.0,導入・検証済み,velocity/plugins,https://github.com/WiIIiam278/VelocityScoreboardAPI,Paper配置禁止・Sidebar等は未使用
Portal,Velocity + All Paper,Advanced Portals,計画・未導入,各plugins,https://modrinth.com/plugin/advanced-portals,Proxy／Backend Componentを一括検証
Common,All Paper,LuckPerms 5.5.60,導入・検証済み,各plugins,https://luckperms.net/download,共有MariaDB
Common,All Paper,PlaceholderAPI 2.12.3,導入・検証済み,各plugins,https://www.spigotmc.org/resources/placeholderapi.6245/,Velocity配置禁止・Expansion未導入・手動取得
Common,All Paper,TAB-Bridge 6.2.2,導入・検証済み,各plugins,https://github.com/NEZNAMY/TAB-Bridge/releases,Velocity配置禁止
Common,All Paper,WorldEdit 7.4.4,導入・検証済み,各plugins,https://modrinth.com/plugin/worldedit/version/qNuPcliz,Velocity対象外・Java 25
Common,All Paper,WorldGuard 7.0.17,導入・検証済み,各plugins,https://modrinth.com/plugin/worldguard,WorldEdit依存・Lobby／Frontier保護
World,Lobby + Frontier,VoidGen 2.3.8,導入・検証済み,"servers/lobby/plugins, servers/frontier/plugins",https://modrinth.com/plugin/voidgen/version/2.3.8,Main／Velocity対象外
World,All Paper,Multiverse-Core 5.7.2,導入・検証済み,各Paper plugins,https://modrinth.com/plugin/multiverse-core,手動取得・Velocity対象外・Lobby／FrontierはEntry Worldのみ
World,Main,Multiverse-NetherPortals 5.0.5,導入・検証済み,servers/main/plugins,https://modrinth.com/plugin/multiverse-netherportals,Multiverse-Core依存・2 Familyを明示Link
Gameplay,Main + Frontier,mcMMO,計画・未導入,両plugins,https://mcmmo.org/,共有MariaDBを詳細検証
Gameplay,Main,EvenMoreFish,計画・未導入,servers/main/plugins,https://modrinth.com/plugin/evenmorefish,
Economy,Main + Frontier,RedisEconomy,計画・未導入,両plugins,https://www.spigotmc.org/resources/105965/,Waymark provider候補
Economy,Main + Frontier,VaultUnlocked,計画・未導入,両plugins,https://hangar.papermc.io/TNE/VaultUnlocked,RedisEconomy依存境界で検証
Economy,Main,EconomyShopGUI,計画・未導入,servers/main/plugins,https://www.curseforge.com/minecraft/bukkit-plugins/economyshopgui,Economy群と一括検証
Structure,Main,BetterStructures,計画・未導入,servers/main/plugins,https://modrinth.com/plugin/betterstructures,Resource世界では無効
Adventure,Frontier,EliteMobs,計画・未導入,servers/frontier/plugins,https://modrinth.com/plugin/elitemobs,Content Packは別途
Conditional,Frontier,BetterStructures,条件付き・未導入,servers/frontier/plugins,https://modrinth.com/plugin/betterstructures,選定Packが要求するときのみ・WorldEdit導入済み
Administration / Development,All Paper,PlugManX,計画・未導入,各Paper plugins,https://modrinth.com/plugin/plugmanx,Version未選定・手動取得・Admin-only・Velocity対象外
Deferred,Velocity,Cross-server chat,選定中,未配置,,PoC後に選定
Forbidden,Velocity,ViaBackwards,禁止,配置しない,https://modrinth.com/plugin/viabackwards,意図的に不採用
Deferred,Frontier,Aether-like content,PoC,未配置,,初期必須ではない
Forbidden,Frontier,Twilight Forest legacy plugin,不要,配置しない,,現行対応がないため不採用
Deferred,LAB,LAB plugins / MythicMobs,将来,未配置,,LAB導入時に別途選定
